Institution Codes	Publisher/Institution	Country	Country Code	Continent
KU	University of Kansas Biodiversity Institute	USA	USA	North America
KY	University of Kentucky	USA	USA	North America
NLU	University of Louisiana at Monroe	USA	USA	North America
UMMZ	University of Michigan Museum of Zoology	USA	USA	North America
JFBM	University of Minnesota Bell Museum	USA	USA	North America
MIN	University of Minnesota Bell Museum	USA	USA	North America
MMNH	University of Minnesota Bell Museum	USA	USA	North America
UMH	University of Mons-Hainaut	Belgium	BEL	Europe
MZNA	University of Navarra – Department of Environmental Biology	Spain	ESP	Europe
HWML	University of Nebraska State Museum	USA	USA	North America
UNSM	University of Nebraska State Museum	USA	USA	North America
UNHC	University of New Hamsphire Collection of Insects and Other Arthropods	USA	USA	North America
UNM	University of New Mexico Herbarium	USA	USA	North America
Fjellberg	University of Oslo	Norway	NOR	Europe
NHMO	University of Oslo	Norway	NOR	Europe
O	University of Oslo	Norway	NOR	Europe
ZMO	University of Oslo	Norway	NOR	Europe
ZMUO	University of Oulu	Finland	FIN	Europe
UTC	University of Tennessee - Chattanooga	USA	USA	North America
TNHC	University of Texas at Austin-Biodiversity Collections	USA	USA	North America
UTIC	University of Texas at Austin-Biodiversity Collections	USA	USA	North America
UTEP	University of Texas at El Paso Biodiversity Collections	USA	USA	North America
University of Texas Biodiversity Collections (UTBC)	University of Texas Biodiversity Collections	USA	USA	North America
UTA	University of Texas-Arlington	USA	USA	North America
UWIZM	University of the West Indies Zoology Museum	Trinidad & Tobago	TTO	South America
UWBM	University of Washington Burke Museum	USA	USA	North America
UWFC	University of Washington Burke Museum	USA	USA	North America
UW-Madison	University of Wisconsin - Madison	USA	USA	North America
UWYMV	University of Wyoming Museum of Vertebrates	USA	USA	North America
USDA-ARS	USDA-ARS Pollinating Insect-Biology-Management-Systematics Research	USA	USA	North America
UVM	Vermont Center for Ecostudies	USA	USA	North America
VCE	Vermont Center for Ecostudies	USA	USA	North America
VPI	Virginia Tech Insect Collection	USA	USA	North America
UQIC	Walter Reed Biosystematics Unit-Smithsonian Institution	USA	USA	North America
WAM	Western Australian Museum	Australia	AUS	Oceania
WFVZ	Western Foundation of Vertebrate Zoology	USA	USA	North America
NML	World Museum-National Museums Liverpool	United Kingdom	GBR	Europe
MNHW	Wroc_aw University-Museum of Natural History	Poland	POL	Europe
YPM	Yale University Peabody Museum	USA	USA	North America
YorkU	York University	Canada	CAN	North America
ZSM	Zoologische Staatssammlung Munchen/Staatliche Naturwissenschaftliche Sammlungen Bayerns	Germany	DEU	Europe
